Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-08
Horizontal Delay,-1.84e-09
Sample Interval,4e-10
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,-2.58
,
,
,
Label,
TIME,CH1
-2.018e-07,3.7
-2.014e-07,3.74
-2.010e-07,3.74
-2.006e-07,3.74
-2.002e-07,3.7
-1.998e-07,3.74
-1.994e-07,3.74
-1.990e-07,3.74
-1.986e-07,3.74
-1.982e-07,3.74
-1.978e-07,3.74
-1.974e-07,3.74
-1.970e-07,3.78
-1.966e-07,3.74
-1.962e-07,3.74
-1.958e-07,3.74
-1.954e-07,3.78
-1.950e-07,3.78
-1.946e-07,3.74
-1.942e-07,3.74
-1.938e-07,3.74
-1.934e-07,3.74
-1.930e-07,3.74
-1.926e-07,3.74
-1.922e-07,3.74
-1.918e-07,3.7
-1.914e-07,3.74
-1.910e-07,3.74
-1.906e-07,3.78
-1.902e-07,3.74
-1.898e-07,3.74
-1.894e-07,3.74
-1.890e-07,3.74
-1.886e-07,3.74
-1.882e-07,3.74
-1.878e-07,3.74
-1.874e-07,3.74
-1.870e-07,3.7
-1.866e-07,3.7
-1.862e-07,3.74
-1.858e-07,3.7
-1.854e-07,3.74
-1.850e-07,3.74
-1.846e-07,3.7
-1.842e-07,3.7
-1.838e-07,3.74
-1.834e-07,3.74
-1.830e-07,3.74
-1.826e-07,3.74
-1.822e-07,3.74
-1.818e-07,3.74
-1.814e-07,3.74
-1.810e-07,3.74
-1.806e-07,3.74
-1.802e-07,3.74
-1.798e-07,3.74
-1.794e-07,3.74
-1.790e-07,3.74
-1.786e-07,3.74
-1.782e-07,3.74
-1.778e-07,3.7
-1.774e-07,3.74
-1.770e-07,3.7
-1.766e-07,3.7
-1.762e-07,3.74
-1.758e-07,3.74
-1.754e-07,3.74
-1.750e-07,3.7
-1.746e-07,3.74
-1.742e-07,3.74
-1.738e-07,3.74
-1.734e-07,3.74
-1.730e-07,3.78
-1.726e-07,3.74
-1.722e-07,3.74
-1.718e-07,3.7
-1.714e-07,3.7
-1.710e-07,3.74
-1.706e-07,3.74
-1.702e-07,3.74
-1.698e-07,3.74
-1.694e-07,3.74
-1.690e-07,3.74
-1.686e-07,3.7
-1.682e-07,3.74
-1.678e-07,3.7
-1.674e-07,3.74
-1.670e-07,3.74
-1.666e-07,3.74
-1.662e-07,3.74
-1.658e-07,3.74
-1.654e-07,3.74
-1.650e-07,3.7
-1.646e-07,3.74
-1.642e-07,3.74
-1.638e-07,3.74
-1.634e-07,3.74
-1.630e-07,3.74
-1.626e-07,3.74
-1.622e-07,3.74
-1.618e-07,3.74
-1.614e-07,3.7
-1.610e-07,3.7
-1.606e-07,3.74
-1.602e-07,3.74
-1.598e-07,3.7
-1.594e-07,3.74
-1.590e-07,3.74
-1.586e-07,3.74
-1.582e-07,3.7
-1.578e-07,3.78
-1.574e-07,3.74
-1.570e-07,3.74
-1.566e-07,3.7
-1.562e-07,3.74
-1.558e-07,3.74
-1.554e-07,3.74
-1.550e-07,3.74
-1.546e-07,3.74
-1.542e-07,3.74
-1.538e-07,3.74
-1.534e-07,3.74
-1.530e-07,3.74
-1.526e-07,3.74
-1.522e-07,3.74
-1.518e-07,3.74
-1.514e-07,3.74
-1.510e-07,3.74
-1.506e-07,3.74
-1.502e-07,3.74
-1.498e-07,3.74
-1.494e-07,3.74
-1.490e-07,3.74
-1.486e-07,3.74
-1.482e-07,3.74
-1.478e-07,3.74
-1.474e-07,3.74
-1.470e-07,3.74
-1.466e-07,3.74
-1.462e-07,3.74
-1.458e-07,3.74
-1.454e-07,3.74
