Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.004
Horizontal Delay,0
Sample Interval,4e-05
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,0
,
,
,
Label,
TIME,CH1
-2.000e-02,0.48
-1.996e-02,0.48
-1.992e-02,0.48
-1.988e-02,0.48
-1.984e-02,0.52
-1.980e-02,0.52
-1.976e-02,0.48
-1.972e-02,0.48
-1.968e-02,0.48
-1.964e-02,0.48
-1.960e-02,0.48
-1.956e-02,0.52
-1.952e-02,0.48
-1.948e-02,0.48
-1.944e-02,0.48
-1.940e-02,0.48
-1.936e-02,0.44
-1.932e-02,0.44
-1.928e-02,0.52
-1.924e-02,0.48
-1.920e-02,0.48
-1.916e-02,0.52
-1.912e-02,0.48
-1.908e-02,0.48
-1.904e-02,0.48
-1.900e-02,0.48
-1.896e-02,0.48
-1.892e-02,0.48
-1.888e-02,0.48
-1.884e-02,0.44
-1.880e-02,0.48
-1.876e-02,0.48
-1.872e-02,0.48
-1.868e-02,0.48
-1.864e-02,0.48
-1.860e-02,0.48
-1.856e-02,0.52
-1.852e-02,0.48
-1.848e-02,0.48
-1.844e-02,0.48
-1.840e-02,0.48
-1.836e-02,0.48
-1.832e-02,0.48
-1.828e-02,0.52
-1.824e-02,0.48
-1.820e-02,0.48
-1.816e-02,0.48
-1.812e-02,0.44
-1.808e-02,0.52
-1.804e-02,0.48
-1.800e-02,0.52
-1.796e-02,0.52
-1.792e-02,0.48
-1.788e-02,0.48
-1.784e-02,0.52
-1.780e-02,0.48
-1.776e-02,0.52
-1.772e-02,0.52
-1.768e-02,0.52
-1.764e-02,0.48
-1.760e-02,0.52
-1.756e-02,0.52
-1.752e-02,0.52
-1.748e-02,0.48
-1.744e-02,0.48
-1.740e-02,0.44
-1.736e-02,0.48
-1.732e-02,0.48
-1.728e-02,0.48
-1.724e-02,0.52
-1.720e-02,0.48
-1.716e-02,0.48
-1.712e-02,0.48
-1.708e-02,0.48
-1.704e-02,0.48
-1.700e-02,0.48
-1.696e-02,0.52
-1.692e-02,0.48
-1.688e-02,0.48
-1.684e-02,0.48
-1.680e-02,0.48
-1.676e-02,0.48
-1.672e-02,0.48
-1.668e-02,0.48
-1.664e-02,0.48
-1.660e-02,0.48
-1.656e-02,0.48
-1.652e-02,0.48
-1.648e-02,0.48
-1.644e-02,0.48
-1.640e-02,0.48
-1.636e-02,0.52
-1.632e-02,0.48
-1.628e-02,0.48
-1.624e-02,0.52
-1.620e-02,0.48
-1.616e-02,0.48
-1.612e-02,0.48
-1.608e-02,0.48
-1.604e-02,0.48
-1.600e-02,0.48
-1.596e-02,0.48
-1.592e-02,0.48
-1.588e-02,0.44
-1.584e-02,0.48
-1.580e-02,0.48
-1.576e-02,0.52
-1.572e-02,0.48
-1.568e-02,0.48
-1.564e-02,0.48
-1.560e-02,0.48
-1.556e-02,0.48
-1.552e-02,0.48
-1.548e-02,0.52
-1.544e-02,0.48
-1.540e-02,0.52
-1.536e-02,0.52
-1.532e-02,0.48
-1.528e-02,0.48
-1.524e-02,0.48
-1.520e-02,0.48
-1.516e-02,0.48
-1.512e-02,0.48
-1.508e-02,0.48
-1.504e-02,0.48
-1.500e-02,0.48
-1.496e-02,0.48
-1.492e-02,0.48
-1.488e-02,0.52
-1.484e-02,0.48
-1.480e-02,0.48
-1.476e-02,0.48
-1.472e-02,0.48
-1.468e-02,0.48
-1.464e-02,0.48
-1.460e-02,0.48
-1.456e-02,0.48
-1.452e-02,0.52
-1.448e-02,0.48
-1.444e-02,0.52
-1.440e-02,0.52
-1.436e-02,0.48
-1.432e-02,0.48
